,Accuracy,Shot fired,Hits,Deaths,DMG_Get
41,10.0,818,82,15,197
1006,11.5,2446,282,23,267
823,15.1,3000,454,34,245
484,21.4,1099,235,51,365
1005,17.5,2753,481,59,473
256,18.4,1934,355,25,290
309,10.1,3435,348,77,607
400,19.1,1274,243,25,206
254,10.3,767,79,26,154
583,19.4,966,187,48,405
167,28.5,1497,426,27,315
699,8.8,3764,331,49,435
151,16.3,1581,258,19,222
700,13.4,2580,347,73,628
377,16.4,6746,1109,70,868
513,16.5,3385,558,38,320
895,5.2,2248,117,28,359
233,21.4,1230,263,23,288
599,7.3,2725,200,23,280
906,17.2,3306,567,38,375
346,21.2,2026,429,27,258
549,13.9,2979,415,48,511
859,17.9,3143,564,63,530
832,23.4,474,111,10,90
26,23.6,1164,275,46,312
456,2.3,3084,70,14,173
363,13.8,1863,258,29,279
970,17.7,3315,586,19,335
949,9.0,1991,180,25,245
38,20.2,2415,488,42,425
423,11.8,1876,221,37,342
838,23.0,954,219,8,114
81,8.8,1105,97,55,418
371,17.9,811,145,25,191
962,20.8,1343,279,37,244
406,18.0,1873,337,38,271
524,11.8,2147,253,43,461
968,11.7,1087,127,39,300
185,16.5,1213,200,41,333
39,7.9,1581,125,19,247
548,14.1,1543,217,17,267
592,12.5,3459,434,22,269
723,14.7,1988,292,23,236
130,25.1,1141,286,10,193
728,5.8,3160,183,22,251
634,19.5,2881,563,36,351
9,10.6,2165,229,16,204
856,5.2,2614,135,31,362
127,10.2,1096,112,33,267
669,20.8,1548,322,27,270
889,13.3,3753,499,47,466
202,15.6,1679,262,25,254
392,11.0,891,98,26,159
675,15.8,751,119,56,341
33,13.2,1458,192,66,495
30,17.2,1343,231,50,313
830,9.4,1116,105,30,204
658,3.0,2149,65,45,435
952,28.7,2026,581,31,327
15,13.7,2198,302,18,241
7,12.5,890,111,4,70
959,10.7,2153,231,28,312
434,16.0,1491,238,47,288
990,9.0,1828,165,61,553
477,7.3,2901,213,101,646
307,14.0,2043,285,29,394
108,11.8,3056,361,112,768
390,17.5,902,158,17,132
876,8.9,3968,352,57,561
851,16.3,1892,308,19,239
236,8.5,2678,227,29,314
259,14.8,1769,262,35,334
819,16.1,1599,258,71,386
938,18.6,1145,213,37,268
332,29.4,2716,798,58,510
226,15.1,1577,238,15,193
575,8.6,1011,87,22,208
914,8.3,1988,165,56,499
248,21.0,558,117,23,170
735,20.9,2597,542,39,411
752,10.0,4005,400,58,554
209,16.0,2143,342,31,281
616,12.0,2296,275,37,367
541,11.7,3078,361,75,667
739,14.5,2475,360,46,428
424,21.0,1300,273,67,503
487,10.2,696,71,45,375
612,15.5,3464,538,49,430
546,13.4,3125,419,27,397
645,17.4,1486,259,30,359
399,25.0,1570,393,33,370
405,14.8,2583,383,22,244
195,16.3,753,123,54,429
458,0.0,488,0,15,210
795,19.8,1214,240,46,272
411,11.1,1481,165,44,293
578,19.3,2025,390,44,416
372,11.0,944,104,11,136
416,13.6,287,39,20,174
562,9.9,3035,300,28,410
786,14.8,1298,192,19,180
24,21.8,1674,365,50,362
429,15.5,1250,194,30,303
329,10.1,850,86,14,191
139,16.0,681,109,28,219
263,14.7,2162,318,31,290
502,6.6,530,35,13,178
573,22.1,1234,273,45,311
76,15.3,2646,405,38,301
252,17.9,1826,327,27,277
893,16.3,2403,391,67,616
780,14.6,1150,168,26,171
401,14.4,1316,189,25,215
993,17.3,2629,456,35,335
980,8.3,1527,127,45,359
218,19.8,4963,984,62,721
803,17.3,2081,361,55,489
973,19.7,2541,500,31,383
610,9.9,1746,172,41,384
733,15.8,4247,670,37,427
162,15.9,1211,192,23,235
104,14.6,2587,377,40,426
296,8.2,1496,123,24,253
615,9.0,2629,237,34,323
963,19.1,1589,304,48,329
639,6.9,3173,218,98,797
588,8.2,1856,152,35,277
180,3.4,1104,37,16,147
992,27.3,1317,360,21,248
857,3.6,2017,72,40,377
430,11.9,1578,187,46,374
337,4.1,1405,58,22,266
158,13.5,1210,163,41,331
717,20.8,2767,576,46,513
231,22.2,1659,368,28,316
566,11.3,1688,191,13,139
720,7.6,1426,108,62,509
362,15.5,2351,365,39,315
268,15.5,930,144,25,221
577,16.6,2535,421,34,339
874,14.4,3621,521,51,558
642,14.6,3608,527,50,480
373,5.8,1144,66,12,114
210,9.5,2455,234,40,361
570,10.7,2175,233,43,377
40,10.0,1534,154,42,334
303,14.8,3206,473,44,497
156,22.1,1351,298,67,536
747,12.0,6075,726,52,621
807,18.8,2731,513,19,268
92,18.6,1299,242,38,323
220,13.6,3385,462,43,516
805,16.8,1521,255,59,449
391,13.1,1294,170,33,196
796,20.5,1139,234,43,261
436,7.3,1839,135,33,269
512,2.6,2606,69,52,536
206,5.7,1356,77,19,221
985,21.2,2534,536,53,568
793,5.8,1662,96,12,173
243,8.5,2270,193,36,214
680,15.9,1273,203,9,179
670,26.7,1398,373,47,334
351,8.5,1145,97,18,176
865,13.0,3157,410,79,615
339,4.9,1445,71,30,366
900,19.8,1472,291,24,281
622,16.6,2868,477,62,571
404,22.1,2344,517,46,359
455,5.1,1934,98,14,218
500,8.1,1402,114,13,161
834,12.1,1017,123,19,110
240,17.8,1960,348,39,237
211,9.7,2633,256,51,434
884,14.7,2020,297,26,233
10,14.4,1484,213,17,208
168,16.1,2354,380,26,239
1012,5.4,2039,110,58,461
996,8.4,2076,174,24,215
501,9.5,849,81,32,261
134,10.1,1510,153,13,240
626,15.2,2309,351,69,625
663,12.1,1428,173,5,129
945,19.3,1120,216,5,118
398,6.4,1314,84,38,348
1008,14.6,1484,216,51,404
666,6.6,1890,124,8,164
34,6.9,2342,162,85,650
890,12.9,4506,581,52,550
11,12.3,1711,211,27,281
450,8.8,2044,180,3,71
174,3.9,1920,75,7,84
883,19.5,1583,308,21,254
971,19.1,4322,825,51,552
325,10.2,1650,169,5,117
249,18.6,629,117,26,167
710,11.1,2749,306,28,308
628,14.8,949,140,47,357
567,16.0,1168,187,15,174
740,9.3,2580,239,41,421
107,15.1,2137,322,61,595
613,14.7,1978,290,36,333
115,10.6,830,88,17,110
1007,13.8,1795,247,38,404
686,18.7,3663,686,73,578
802,19.2,1655,318,48,408
774,7.6,1015,77,16,159
31,20.5,1184,243,72,475
314,14.5,2351,342,30,286
493,11.9,1931,230,36,314
920,10.5,526,55,48,293
495,4.0,3550,143,16,236
778,23.4,1237,289,16,165
117,11.6,844,98,26,156
526,4.6,1976,90,42,344
407,12.8,1899,244,37,250
129,20.5,1528,314,9,184
942,13.3,1294,172,20,234
113,18.1,770,139,13,116
110,13.2,2298,304,118,934
247,18.6,706,131,13,108
902,7.4,1959,144,16,214
702,6.8,1887,129,35,359
944,12.6,1391,175,40,366
731,4.1,1731,71,16,200
955,17.2,1745,301,31,270
767,13.9,2536,353,75,569
1009,11.4,2013,230,45,458
334,14.3,3611,515,58,472
609,13.3,1333,177,40,352
559,9.9,4554,451,35,388
776,6.9,1087,75,31,269
606,14.0,2183,305,35,349
772,19.1,1114,213,36,312
93,13.7,899,123,20,136
738,10.3,3658,376,27,359
667,15.8,1027,162,24,272
842,23.0,1777,409,57,335
703,2.6,2440,64,19,171
928,9.2,1060,97,21,170
869,15.1,3532,532,33,386
176,8.7,1184,103,24,235
655,7.4,4240,315,47,456
66,19.3,3468,670,67,531
316,18.8,1203,226,28,260
847,10.6,1098,116,75,389
966,10.8,2164,234,52,320
298,21.4,6021,1286,55,617
722,14.3,2751,393,21,258
165,15.4,2903,447,14,211
690,18.9,2602,491,58,547
504,19.0,4684,892,46,427
336,8.5,2972,254,39,400
595,6.3,4078,257,17,202
792,11.8,1529,180,32,302
417,4.3,440,19,10,106
886,18.0,969,174,38,304
672,22.2,1327,295,30,296
370,14.9,1472,219,17,169
508,15.1,2899,439,30,382
99,15.4,1075,166,60,404
937,20.5,1387,285,21,209
255,4.8,376,18,19,152
765,9.5,4591,436,35,373
64,13.9,423,59,52,317
149,11.0,811,89,36,216
841,7.2,516,37,9,113
160,9.5,1370,130,63,516
482,17.2,1450,249,18,207
829,7.2,2043,148,27,268
74,6.1,1896,116,14,226
603,14.2,2810,400,39,365
965,11.1,1857,206,40,299
867,10.6,2837,300,82,551
194,13.4,1745,234,82,560
16,17.8,1878,335,42,380
27,14.3,1496,214,45,305
84,12.7,2001,255,23,282
348,10.6,1366,145,21,225
44,20.0,1579,316,22,240
270,13.3,1195,159,49,357
310,6.8,2328,159,24,301
909,12.6,3725,469,23,326
769,5.4,2122,114,37,382
379,21.1,3716,785,94,855
517,6.8,2018,138,31,263
584,12.1,2170,262,21,207
849,44.9,623,280,8,191
636,9.1,2724,249,24,317
387,11.3,1755,199,69,461
810,15.7,2083,327,17,267
273,17.8,1841,327,44,246
684,1.2,1439,17,23,262
820,13.2,2091,275,91,542
409,15.2,1811,275,56,345
282,16.3,1046,171,18,188
304,14.2,3255,463,40,504
679,9.8,2409,237,12,170
288,7.6,883,67,14,128
692,10.5,2928,306,47,453
997,3.0,1955,58,30,272
159,14.5,1086,157,48,374
6,14.9,2092,311,19,181
654,8.0,3703,298,25,320
491,13.9,3377,470,26,296
903,12.6,1637,206,44,401
866,13.8,2676,370,86,585
251,12.6,2169,273,24,222
721,14.8,3723,552,20,293
912,13.6,2917,398,51,480
198,5.5,2135,118,51,474
880,11.5,1104,127,28,263
319,7.2,1462,105,25,251
560,20.0,1821,364,44,414
515,10.9,1729,188,18,232
222,10.7,5706,608,95,841
80,7.3,1370,100,47,366
471,13.2,515,68,17,163
280,35.9,655,235,9,143
975,13.2,2460,325,12,288
197,12.1,1228,148,83,650
70,22.4,1605,360,43,454
386,19.6,1268,249,42,333
375,27.5,5422,1491,88,890
173,13.4,1480,198,15,203
246,23.5,876,206,15,126
71,11.1,2171,241,15,262
885,13.1,1797,235,22,229
901,9.0,3392,306,27,286
89,25.4,819,208,38,283
1010,9.7,3065,298,77,607
437,20.4,1652,337,29,249
324,19.7,984,194,7,127
520,15.3,4515,689,47,563
45,28.0,846,237,18,221
321,17.4,1719,299,20,229
367,4.0,2548,103,32,298
625,22.6,1753,396,86,657
644,15.1,3705,558,72,590
275,20.3,868,176,56,282
607,17.7,2135,377,57,486
596,11.1,3775,418,39,399
815,8.8,2777,244,46,417
981,11.1,1415,157,75,601
23,19.7,1580,311,53,367
184,21.0,1760,370,61,447
530,19.0,2833,538,29,371
836,11.1,951,106,13,119
922,13.6,964,131,4,82
