,Accuracy,Hits,DMG_Get
263,14.7,318,290
502,6.6,35,178
573,22.1,273,311
76,15.3,405,301
252,17.9,327,277
893,16.3,391,616
780,14.6,168,171
401,14.4,189,215
993,17.3,456,335
980,8.3,127,359
218,19.8,984,721
803,17.3,361,489
973,19.7,500,383
610,9.9,172,384
733,15.8,670,427
162,15.9,192,235
104,14.6,377,426
296,8.2,123,253
615,9.0,237,323
963,19.1,304,329
639,6.9,218,797
588,8.2,152,277
180,3.4,37,147
992,27.3,360,248
857,3.6,72,377
430,11.9,187,374
337,4.1,58,266
158,13.5,163,331
717,20.8,576,513
231,22.2,368,316
566,11.3,191,139
720,7.6,108,509
362,15.5,365,315
268,15.5,144,221
577,16.6,421,339
874,14.4,521,558
642,14.6,527,480
373,5.8,66,114
210,9.5,234,361
570,10.7,233,377
40,10.0,154,334
303,14.8,473,497
156,22.1,298,536
747,12.0,726,621
807,18.8,513,268
92,18.6,242,323
220,13.6,462,516
805,16.8,255,449
391,13.1,170,196
796,20.5,234,261
436,7.3,135,269
512,2.6,69,536
206,5.7,77,221
985,21.2,536,568
793,5.8,96,173
243,8.5,193,214
680,15.9,203,179
670,26.7,373,334
351,8.5,97,176
865,13.0,410,615
339,4.9,71,366
900,19.8,291,281
622,16.6,477,571
404,22.1,517,359
455,5.1,98,218
500,8.1,114,161
834,12.1,123,110
240,17.8,348,237
211,9.7,256,434
884,14.7,297,233
10,14.4,213,208
168,16.1,380,239
1012,5.4,110,461
996,8.4,174,215
501,9.5,81,261
134,10.1,153,240
626,15.2,351,625
663,12.1,173,129
945,19.3,216,118
398,6.4,84,348
1008,14.6,216,404
666,6.6,124,164
34,6.9,162,650
890,12.9,581,550
11,12.3,211,281
450,8.8,180,71
174,3.9,75,84
883,19.5,308,254
971,19.1,825,552
325,10.2,169,117
249,18.6,117,167
710,11.1,306,308
628,14.8,140,357
567,16.0,187,174
740,9.3,239,421
107,15.1,322,595
613,14.7,290,333
115,10.6,88,110
1007,13.8,247,404
686,18.7,686,578
802,19.2,318,408
774,7.6,77,159
31,20.5,243,475
314,14.5,342,286
493,11.9,230,314
920,10.5,55,293
495,4.0,143,236
778,23.4,289,165
117,11.6,98,156
526,4.6,90,344
407,12.8,244,250
129,20.5,314,184
942,13.3,172,234
113,18.1,139,116
110,13.2,304,934
247,18.6,131,108
902,7.4,144,214
702,6.8,129,359
944,12.6,175,366
731,4.1,71,200
955,17.2,301,270
767,13.9,353,569
1009,11.4,230,458
334,14.3,515,472
609,13.3,177,352
559,9.9,451,388
776,6.9,75,269
606,14.0,305,349
772,19.1,213,312
93,13.7,123,136
738,10.3,376,359
667,15.8,162,272
842,23.0,409,335
703,2.6,64,171
928,9.2,97,170
869,15.1,532,386
176,8.7,103,235
655,7.4,315,456
66,19.3,670,531
316,18.8,226,260
847,10.6,116,389
966,10.8,234,320
298,21.4,1286,617
722,14.3,393,258
165,15.4,447,211
690,18.9,491,547
504,19.0,892,427
336,8.5,254,400
595,6.3,257,202
792,11.8,180,302
417,4.3,19,106
886,18.0,174,304
672,22.2,295,296
370,14.9,219,169
508,15.1,439,382
99,15.4,166,404
937,20.5,285,209
255,4.8,18,152
765,9.5,436,373
64,13.9,59,317
149,11.0,89,216
841,7.2,37,113
160,9.5,130,516
482,17.2,249,207
829,7.2,148,268
