,Rating,Accuracy,Shot fired,Hits,Deaths,DMG_Get
700,23.3,13.40%,2580,347,73,628
701,16,11.90%,1714,204,70,524
702,13.6,6.80%,1887,129,35,359
703,13,2.60%,2440,64,19,171
704,4.4,6.50%,705,46,41,390
705,94.8,21.60%,1400,302,20,157
706,36.1,16.70%,833,139,31,200
707,34.6,12.10%,1668,202,47,325
708,25.6,14.80%,803,119,36,254
709,105,14.60%,3949,578,22,236
710,40.3,11.10%,2749,306,28,308
711,39.8,13.90%,2768,385,50,411
712,30.1,8.40%,2608,219,34,282
713,25.7,8.30%,2275,189,36,285
714,23.9,10.70%,2112,225,52,380
715,71.4,25.00%,2319,580,45,459
716,62,23.60%,2655,627,53,543
717,58.3,20.80%,2767,576,46,513
718,43.8,23.20%,2113,491,72,576
719,43.5,12.90%,2868,370,43,392
720,8.5,7.60%,1426,108,62,509
721,81.1,14.80%,3723,552,20,293
722,65,14.30%,2751,393,21,258
723,53.1,14.70%,1988,292,23,236
724,42.1,9.90%,1772,176,13,166
725,39.1,10.80%,1045,113,3,116
726,38.4,8.80%,3081,272,26,277
727,29.8,13.90%,1613,225,32,321
728,27,5.80%,3160,183,22,251
729,23.4,5.80%,1981,115,15,182
730,14.2,2.60%,2467,63,7,155
731,12.7,4.10%,1731,71,16,200
732,84.5,14.80%,4862,720,25,367
733,68.7,15.80%,4247,670,37,427
734,66.7,12.40%,3594,446,18,277
735,62.2,20.90%,2597,542,39,411
736,59.4,26.00%,2543,660,65,562
737,47.1,15.30%,3865,591,62,545
738,42,10.30%,3658,376,27,359
739,36.1,14.50%,2475,360,46,428
740,22.4,9.30%,2580,239,41,421
741,21.4,15.50%,1695,263,60,535
742,13.6,11.00%,1593,176,64,525
743,11.7,4.90%,1787,88,18,274
744,124.1,32.10%,3397,1091,41,480
745,54.9,14.30%,5421,775,56,604
746,51.3,15.30%,3897,595,52,504
747,48.2,12.00%,6075,726,52,621
748,43.1,17.10%,3699,634,71,657
749,41.9,9.10%,6320,576,59,541
750,32.4,14.10%,4582,648,119,854
751,32.3,14.60%,4165,608,97,810
752,28.8,10.00%,4005,400,58,554
753,16.9,7.60%,4419,336,102,764
754,74.7,22.50%,997,224,14,144
755,67.2,20.80%,2563,534,43,374
756,50.4,16.00%,2954,472,50,411
757,49.5,17.40%,2930,510,56,462
758,36.9,13.10%,1954,255,29,290
759,33.3,16.40%,2007,329,42,436
760,33.1,9.60%,3210,308,41,369
761,28.1,14.40%,2022,292,52,445
762,20.9,11.30%,1826,207,55,404
763,98,16.30%,4146,674,31,357
764,52.5,13.60%,2472,337,28,295
765,50.3,9.50%,4591,436,35,373
766,41.1,14.10%,2152,304,36,369
767,31.3,13.90%,2536,353,75,569
768,19.9,11.80%,1333,157,44,372
769,12.3,5.40%,2122,114,37,382
770,85,30.10%,635,191,21,191
771,76.5,23.30%,1472,343,40,368
772,56.1,19.10%,1114,213,36,312
773,41.4,13.90%,1692,236,58,440
774,31.5,7.60%,1015,77,16,159
775,22.4,8.80%,999,88,27,267
776,19,6.90%,1087,75,31,269
777,11.8,5.10%,710,36,29,225
778,85.2,23.40%,1237,289,16,165
779,59.7,13.20%,1746,231,20,162
780,42.1,14.60%,1150,168,26,171
781,18.5,8.80%,990,87,20,183
782,17.7,11.70%,614,72,25,166
783,153.3,25.00%,1838,460,10,149
784,68,12.40%,2881,358,19,218
785,47.9,24.70%,734,181,19,187
786,45.8,14.80%,1298,192,19,180
787,32.2,9.60%,1379,133,11,163
788,30.8,8.70%,1660,144,16,182
789,27.8,17.40%,585,102,14,164
790,27.8,12.30%,1296,160,26,238
791,27.4,7.00%,1897,132,15,182
792,24.5,11.80%,1529,180,32,302
793,20.5,5.80%,1662,96,12,173
794,83.9,18.40%,1573,289,26,192
795,54,19.80%,1214,240,46,272
796,51.4,20.50%,1139,234,43,261
797,51.3,22.80%,1055,241,48,281
798,18.1,8.10%,1017,82,44,258
799,16.2,6.70%,1235,83,42,259
800,83,20.80%,2829,589,40,400
801,50.3,16.90%,2453,415,57,445
802,41.3,19.20%,1655,318,48,408
803,39.9,17.30%,2081,361,55,489
804,36.7,12.70%,1690,215,38,352
805,32.1,16.80%,1521,255,59,449
806,31.7,10.60%,3315,352,63,538
807,87.5,18.80%,2731,513,19,268
808,54.5,21.60%,1822,394,31,344
809,53.9,22.30%,1621,362,26,323
810,53.4,15.70%,2083,327,17,267
811,50.4,13.00%,2809,365,32,303
812,45.3,15.70%,1883,296,22,285
813,37.8,12.30%,3007,371,43,407
814,33.2,12.20%,3135,381,52,475
815,22.9,8.80%,2777,244,46,417
816,15.6,4.00%,3127,126,30,290
817,61,15.40%,2351,361,80,521
818,50.1,16.70%,1490,249,57,340
819,39.9,16.10%,1599,258,71,386
820,38.2,13.20%,2091,275,91,542
821,15.3,8.80%,588,52,21,156
822,84.2,24.50%,2493,612,42,360
823,80.1,15.10%,3000,454,34,245
824,63.4,17.30%,1915,332,32,234
825,60.3,10.00%,3183,318,24,210
826,31.6,5.70%,3158,181,28,212
827,31.5,18.20%,1193,217,39,312
828,27.6,12.80%,1747,223,49,337
829,21,7.20%,2043,148,27,268
830,20.3,9.40%,1116,105,30,204
831,9.3,4.50%,1588,72,40,280
832,59.7,23.40%,474,111,10,90
833,49.7,11.50%,994,114,11,93
834,45.9,12.10%,1017,123,19,110
835,38.7,13.00%,894,116,10,125
836,36,11.10%,951,106,13,119
837,31.1,13.10%,738,97,20,130
838,92.7,23.00%,954,219,8,114
839,39.2,16.30%,680,111,6,124
840,18.9,5.10%,352,18,2,34
841,12.4,7.20%,516,37,9,113
842,70.6,23.00%,1777,409,57,335
843,65.3,19.20%,1384,266,40,259
844,54.3,12.60%,1852,233,27,202
845,52.6,17.90%,1762,315,59,324
846,19.7,9.80%,1124,110,49,288
847,15,10.60%,1098,116,75,389
848,107.5,17.30%,4864,841,28,350
849,92.3,44.90%,623,280,8,191
850,65.6,16.20%,3932,638,43,428
851,56.7,16.30%,1892,308,19,239
852,45.9,9.80%,1787,175,7,151
853,31.5,10.90%,2819,307,39,395
854,21.3,4.10%,3318,135,14,228
855,20.1,7.90%,2368,186,41,356
856,13.7,5.20%,2614,135,31,362
857,6.8,3.60%,2017,72,40,377
858,66.7,16.90%,3242,549,57,444
859,57.9,17.90%,3143,564,63,530
860,57.4,22.30%,2485,553,82,523
861,53,15.10%,3501,528,57,503
862,44.9,16.90%,2686,454,84,552
863,42.3,15.20%,3469,528,85,644
864,39.1,18.40%,2151,395,70,526
865,33.9,13.00%,3157,410,79,615
866,30.6,13.80%,2676,370,86,585
867,25.2,10.60%,2837,300,82,551
868,111.3,23.10%,2550,589,18,257
869,59.7,15.10%,3532,532,33,386
870,50.9,15.40%,2705,417,40,356
871,48,14.30%,3343,479,42,427
872,48,16.10%,2656,427,34,391
873,46.4,16.70%,2014,336,32,321
874,40,14.40%,3621,521,51,558
875,37,15.50%,3116,484,56,570
876,24.6,8.90%,3968,352,57,561
877,14.6,6.80%,2897,196,44,506
878,133.5,21.20%,1275,270,9,131
879,31.1,8.70%,846,74,11,110
880,26.3,11.50%,1104,127,28,263
881,6.1,1.30%,1440,19,12,142
882,64,19.30%,1673,323,22,232
883,56,19.50%,1583,308,21,254
884,54.7,14.70%,2020,297,26,233
885,43,13.10%,1797,235,22,229
886,25.9,18.00%,969,174,38,304
887,25.8,8.70%,1914,167,29,252
888,112.9,24.20%,4576,1109,32,485
889,45.1,13.30%,3753,499,47,466
890,44.2,12.90%,4506,581,52,550
891,40.4,12.00%,4579,549,48,560
892,37,10.00%,4176,418,36,451
893,28,16.30%,2403,391,67,616
894,26.3,7.80%,4910,384,56,561
895,12,5.20%,2248,117,28,359
896,114.8,22.80%,1533,350,10,147
897,97.6,16.80%,2324,390,13,177
898,66.9,15.00%,1805,270,10,174
899,49.7,11.00%,1949,215,15,175
900,48,19.80%,1472,291,24,281
901,41.9,9.00%,3392,306,27,286
902,25.6,7.40%,1959,144,16,214
903,21.4,12.60%,1637,206,44,401
904,15.6,5.90%,1236,73,11,173
905,1.6,0.90%,1197,11,15,228
906,67.6,17.20%,3306,567,38,375
907,66.7,26.10%,1470,384,34,291
908,65.9,19.40%,2626,510,36,357
909,59.9,12.60%,3725,469,23,326
910,43.1,17.90%,2492,447,55,468
911,41.9,14.20%,3588,508,68,518
912,35.1,13.60%,2917,398,51,480
913,23.1,8.80%,2200,193,21,327
914,12.8,8.30%,1988,165,56,499
915,76.8,20.90%,1454,304,34,228
916,54.7,26.20%,801,210,37,242
917,48.3,22.50%,1544,348,88,503
918,46.2,14.60%,2221,324,68,379
919,34,15.80%,499,79,20,143
920,11.6,10.50%,526,55,48,293
921,115,19.50%,1110,216,6,86
922,66.9,13.60%,964,131,4,82
923,35.2,7.40%,2042,151,13,163
924,3.2,2.50%,685,17,22,184
925,72.9,12.40%,1368,170,12,96
926,70.5,15.90%,1122,178,12,110
927,22.8,6.20%,1765,109,24,178
928,22.4,9.20%,1060,97,21,170
929,125.5,22.10%,1217,269,4,102
930,97.2,15.80%,717,113,3,50
931,70.4,12.40%,1383,171,4,100
932,30.7,10.70%,768,82,10,107
933,25.5,10.80%,500,54,6,85
934,16.3,11.20%,760,85,26,212
935,8.3,10.50%,296,31,19,149
936,104.4,22.40%,1418,318,10,146
937,63.8,20.50%,1387,285,21,209
938,36.2,18.60%,1145,213,37,268
939,32,17.30%,693,120,17,167
940,7.5,4.00%,979,39,17,185
941,108.4,29.00%,1086,315,18,194
942,38.8,13.30%,1294,172,20,234
943,30.2,13.00%,1088,141,27,249
944,26.9,12.60%,1391,175,40,366
945,83.9,19.30%,1120,216,5,118
946,76,11.00%,2849,314,14,167
947,41.4,10.80%,2975,320,32,312
948,35.6,7.00%,1491,105,12,111
949,28.8,9.00%,1991,180,25,245
950,22.2,9.10%,1314,119,21,210
951,20.2,6.60%,1614,106,22,197
952,92.9,28.70%,2026,581,31,327
953,54.7,18.50%,1969,364,27,303
954,50.5,20.00%,1599,320,32,295
955,49.8,17.20%,1745,301,31,270
956,43.6,17.10%,1366,233,18,238
957,36.8,24.40%,880,215,30,289
958,32.6,15.50%,1234,191,30,255
959,29.9,10.70%,2153,231,28,312
960,3.7,1.30%,1365,18,15,165
961,76.9,15.90%,1976,315,41,287
962,71.2,20.80%,1343,279,37,244
963,61.4,19.10%,1589,304,48,329
964,54.3,18.50%,1830,339,67,368
965,40,11.10%,1857,206,40,299
966,37.2,10.80%,2164,234,52,320
967,23.8,14.80%,1000,148,54,352
968,21.7,11.70%,1087,127,39,300
969,20.4,9.00%,1287,116,41,283
970,78.7,17.70%,3315,586,19,335
971,68.7,19.10%,4322,825,51,552
972,65.6,13.90%,3660,508,25,329
973,60.5,19.70%,2541,500,31,383
974,58.7,24.20%,2933,711,65,598
975,47.4,13.20%,2460,325,12,288
976,44.3,8.90%,4685,415,32,367
977,42.2,13.20%,3488,460,50,458
978,36.2,16.20%,3176,513,75,625
979,23.4,10.70%,2991,321,59,553
980,13.7,8.30%,1527,127,45,359
981,10.6,11.10%,1415,157,75,601
982,97.8,25.80%,3653,943,54,582
983,66.4,25.90%,2595,673,58,596
984,63.7,21.50%,3034,653,53,578
985,53.8,21.20%,2534,536,53,568
986,50.2,16.20%,4274,694,61,717
987,41,11.60%,3178,369,38,453
988,35.5,18.40%,2090,385,73,601
989,29.9,11.60%,2948,343,70,614
990,13.8,9.00%,1828,165,61,553
991,8.1,4.80%,2352,112,62,589
992,74.5,27.30%,1317,360,21,248
993,60.9,17.30%,2629,456,35,335
994,50,15.30%,2325,355,37,308
995,39.9,13.90%,2732,381,59,406
996,31.4,8.40%,2076,174,24,215
997,7.5,3.00%,1955,58,30,272
998,159.3,25.30%,4483,1136,29,357
999,77.4,16.30%,3703,602,36,343
1000,61.4,13.30%,2666,355,23,243
1001,61.1,18.70%,3476,650,55,486
1002,60.3,17.40%,2893,502,38,373
1003,54.8,13.30%,2552,339,15,260
1004,47.1,22.20%,2436,541,68,552
1005,45.7,17.50%,2753,481,59,473
1006,43.1,11.50%,2446,282,23,267
1007,25.9,13.80%,1795,247,38,404
1008,23,14.60%,1484,216,51,404
1009,20.5,11.40%,2013,230,45,458
1010,19.5,9.70%,3065,298,77,607
1011,10.2,5.30%,2203,116,41,417
1012,8.8,5.40%,2039,110,58,461
